seller,mean_pricing_gap,pricing_gap_variance,extreme_pricing_count,transaction_count,log_pricing_gap_variance,log_extreme_pricing_count,cluster
billion dodge chrysler jeep,370.0450450450451,1176033.0296359714,1,222,13.977658343787331,0.6931471805599453,2
billotti auto sales,504.60526315789474,3666380.245376955,2,38,15.114715696894754,1.0986122886681098,2
black tie auto group llc,765.625,935489.5833333333,0,16,13.748826358727216,0.0,0
black tie classics llc,-260.22727272727275,672411.6451209342,0,110,13.418627486289997,0.0,0
black/white auto sales,367.7083333333333,1362308.6503623186,0,24,14.124692089603625,0.0,0
blackhawk finance,-677.2727272727273,953424.9471458775,0,44,13.767817036765242,0.0,0
blacksmoke wholesale llc,-246.15384615384616,1624150.641025641,0,13,14.300496170360374,0.0,0
blue knob auto sales inc,204.44015444015443,1737407.5341953267,2,259,14.367905212845695,1.0986122886681098,2
bluewater motorsports ws,-934.2105263157895,3493417.397660819,1,19,15.066391298368018,0.6931471805599453,1
bmw alphera/alphera financial services,-649.2141453831041,2848387.668618412,12,509,14.862264012925479,2.5649493574615367,1
bmw gallery,-187.2340425531915,1252713.9222941718,0,47,14.040823691866525,0.0,0
bmw mini financial services,-51.16022099447514,1318068.342663669,1,905,14.091678604696792,0.6931471805599453,2
bmw mini north america,439.34010152284264,3918865.378638762,4,197,15.181312980820643,1.6094379124341003,2
bmw mini of south atlanta,-419.2307692307692,4486365.384615384,1,26,15.316553663624116,0.6931471805599453,2
bmw na manheim new jersey,611.6707616707616,15312455.822369618,38,407,16.544177226501628,3.6635616461296463,1
bmw north america,-244.61883408071748,13920466.40811215,22,223,16.44887079047579,3.1354942159291497,1
bmw north america greer,843.6507936507936,16294822.346086796,47,693,16.60635802920619,3.871201010907891,1
bmw north america raa,1208.63309352518,20812751.01657803,26,139,16.851076434536274,3.295836866004329,1
bmw north america uaa,90.625,5084739.583333333,1,16,15.441754570103125,0.6931471805599453,2
bmw north america/lemon law buy backs,-4125.0,6530568.181818182,13,45,15.692004661591588,2.6390573296152584,1
bmw north scottsdale,82.89473684210526,3323061.560150374,1,57,15.016397373566491,0.6931471805599453,2
bmw of annapolis/mini of annapolis,-79.375,1276566.907051282,0,40,14.059685712095396,0.0,0
bmw of arlington,22.272727272727273,1390428.2735613005,0,110,14.145123087328953,0.0,0
bmw of bayside,-1169.4444444444443,2717896.825396824,0,36,14.815369281153238,0.0,0
bmw of cape cod,-271.19565217391306,2089971.3164251205,1,46,14.552661378123661,0.6931471805599453,2
